publishedAt,description_sentiment_neutral,description_sentiment_positive,description_sentiment_negative,news_daily_sentiment
2022-07-10,0.31141272,-2.1045406,1.9020077,negative
2022-07-11,-1.874073,1.9329189,-0.67666966,positive
2022-07-12,-1.4677594,0.49157917,0.7326106,negative
2022-07-13,-0.72964376,-1.70535,2.4117005,negative
2022-07-14,0.61892617,-1.8807875,0.8993327,negative
2022-07-15,0.55632365,-0.7610788,0.059699267,neutral
2022-07-17,1.9342405,-2.7156062,0.9360258,neutral
2022-07-18,-0.9811562,0.26289698,0.054096058,positive
2022-07-19,0.106796876,-0.2650807,-0.120843545,neutral
2022-07-20,1.1956769,-1.233167,0.062095378,neutral
2022-07-21,-0.07165263,-0.013939738,0.014083028,negative
2022-07-22,0.87797344,-0.83859897,0.045900486,neutral
2022-07-26,1.4418006,-1.3826181,-0.3883074,neutral
2022-07-27,-0.33053052,0.86483085,-1.1962776,positive
2022-07-29,-0.1983015,-0.5737574,0.37122756,negative
2022-07-30,-1.7185202,1.7677289,-0.46335292,positive
2022-07-31,-0.0064905677,-2.5981164,2.377375,negative
2022-08-01,-0.08830578,-2.4553761,2.184253,negative
2022-08-02,0.5011075,-1.6890068,0.81510884,negative
2022-08-04,-0.82659024,-1.5519605,2.4099424,negative
2022-08-09,-0.10838823,-2.624429,2.7574248,negative
2022-08-10,2.565963,-2.0130448,-0.023204997,neutral
2022-08-11,1.1391239,-2.728551,1.466206,negative
2022-08-12,0.09455197,-2.6903443,2.6985831,negative
